"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"ABILITY_OVERTHERE2_DESC","Units within three tiles of you turn away from you.","","Las unidades en un radio de 3 casillas le dan la espalda.","Les unités à moins de 3&nbsp;cases vous tournent le dos.","Einheiten innerhalb von drei Feldern drehen sich von dir weg.","Le unità entro tre caselle di distanza si allontanano da te.","Unidades dentro de três espaços de distância se viram de costas para você.","Юниты в радиусе 3 клеток отворачиваются от вас.","","",""
"ABILITY_BUTTSCOOT_NAME","Butt Scoot","","Arrastre de culo","Faites de la place","Hinternhopser","Scivolata sul Fondoschiena","Esfregão de Traseiro","Ёрзанье","","",""
"ABILITY_BUTTSCOOT_DESC","Move 1 tile, leaving a maggot familiar behind you.","","Se mueve 1 casilla y deja un familiar gusano atrás.","Bougez d'une case et laissez un asticot de compagnie derrière vous.","Bewege dich um 1&nbsp;Feld und hinterlasse einen Madenbegleiter.","Ti sposti di 1 casella, lasciando un famiglio di larva dietro di te.","Mova-se por 1 espaço, deixando um familiar verme para trás.","Переместиться на 1 клетку, оставив за собой фамильяра-личинку.","","",""
"ABILITY_BUTTSCOOT2_DESC","Move up to 3 tiles, leaving a maggot familiar behind you.","","Se mueve hasta 3 casillas y deja un familiar gusano atrás.","Bougez jusqu'à 3&nbsp;cases et laissez un asticot de compagnie derrière vous.","Bewege dich um bis zu 3&nbsp;Felder und hinterlasse einen Madenbegleiter.","Ti sposti fino a 3 caselle, lasciando un famiglio di larva dietro di te.","Mova-se por até 3 espaços, deixando um familiar verme para trás.","Переместиться на 3 клетки, оставив за собой фамильяра-личинку.","","",""
"ABILITY_CONFUSION_NAME","Confusion","","Confusión","Confusion","Verwirrung","Confusione","Confusão","Замешательство","","",""
"ABILITY_CONFUSION_DESC","Inflict Confusion 2 on a unit.","","Inflige 2 de confusión a una unidad.","Infligez Confusion&nbsp;+2&nbsp;à une unité.","Verursache Verwirrung&nbsp;2 bei einer Einheit.","Infliggi confusione 2 a un'unità.","Aplique confusão 2 em uma unidade.","Наложить Замешательство 2 на юнита.","","",""
"ABILITY_CONFUSION2_DESC","Inflict Confusion 4 on units in an area.","","Inflige 4 de confusión a unidades en un área.","Infligez Confusion&nbsp;+4&nbsp;à des unités dans une zone.","Verursache Verwirrung&nbsp;4 bei Einheiten in einem bestimmten Bereich.","Infliggi Confusione 4 alle unità in un'area.","Aplique confusão 4 em unidades em uma área.","Наложить Замешательство 4 на юнитов в области.","","",""
"ABILITY_PLAYDEAD_NAME","Play Dead","","Hacerse el muerto","Faire le mort","Totstellen","Fare il Morto","Fingir de Morto","Притвориться мёртвым","","",""
"ABILITY_PLAYDEAD_DESC","Down yourself. You don't get injured.","","Esta unidad se autoabate, pero no sufre lesiones.","Mettez-vous K.O. Vous ne subirez pas de blessure.","Du fällst in Ohnmacht, ohne verletzt zu werden.","Ti stendi a terra. Non subirai ferite.","Fique inconsciente. Você não obtém ferimentos.","Повалить себя. Вы не получаете ранение.","","",""
"ABILITY_PLAYDEAD2_DESC","Down yourself. You don't get injured. Revive at the end of the next round at full HP.","","Esta unidad se autoabate, pero no sufre lesiones. Resucita al final de la siguiente ronda con todos los PS.","Mettez-vous K.O. Vous ne subirez pas de blessure. Relevez-vous à la fin de la prochaine manche avec tous vos PV.","Du fällst in Ohnmacht, ohne verletzt zu werden. Am Ende der nächsten Runde wirst du mit vollen LP wiederbelebt.","Ti stendi a terra. Non subirai ferite. Resusciterai alla fine del round successivo con tutti i PS.","Fique inconsciente. Você não obtém ferimentos. Reviva no final da próxima rodada com saúde completa.","Повалить себя. Вы не получаете ранение. Воскреснуть в конце следующего раунда с полным ОЗ.","","",""
"ABILITY_REFLECT_NAME","Reflect","","Devolución","Renvoi","Reflektor","Riflessione","Reflexão","Отражение","","",""
"ABILITY_REFLECT_DESC","Reflect the next projectile that hits you back at the attacker.","","Devuelve el siguiente proyectil que golpee a esta unidad.","Renvoyez le prochain projectile qui vous vise à l'envoyeur.","Reflektiere das nächste Geschoss, das dich treffen würde, zurück zum Angreifer.","Rispedisci il prossimo proiettile che ti colpisce verso chi ti ha attaccato.","Reflita o próximo projétil que acertar você de volta para o agressor.","Отразить следующий снаряд обратно в атакующего.","","",""
"ABILITY_REFLECT2_DESC","You or another unit reflects the next projectile that hits them back at the attacker.","","Devuelve el siguiente proyectil que golpee a esta unidad o a otra.","Vous ou une autre unité renvoyez le prochain projectile qui vous vise à l'envoyeur.","Du oder eine andere Einheit reflektiert das nächste Geschoss, das treffen würde, zurück zum Angreifer.","Tu o un'altra unità rispedite il prossimo proiettile che vi colpisce verso chi vi ha attaccato.","Você ou outra unidade reflete o próximo projétil que acertar vocês de volta para o agressor.","Вы или другой юнит отражаете следующий снаряд обратно в атакующего.","","",""
"ABILITY_HEALINGBOLT_NAME","Healing Bolt","","Rayo curativo","Éclair guérisseur","Heilender Blitz","Fulmine Curativo","Raio Curativo","Целебная молния","","",""
"ABILITY_HEALINGBOLT_DESC","A lightning bolt that heals and has a chance to Stun.","","Un rayo que cura y tiene una probabilidad de aturdir.","Un éclair qui soigne et a une chance d'étourdir.","Ein Blitz, der Leben wiederherstellt und manchmal Betäubung verursacht.","Un fulmine che cura e ha la possibilità di infliggere Stordimento.","Um raio que cura e possui uma chance de atordoar.","Молния — исцеляет и может оглушить.","","",""
"ABILITY_HEALINGBOLT2_DESC","A lightning bolt that heals allies and has a chance to Stun enemies.","","Un rayo que cura a los aliados y tiene una probabilidad de aturdir a los enemigos.","Un éclair qui soigne les alliés et a une chance d'étourdir les ennemis.","Ein Blitz, der Leben bei Verbündeten wiederherstellt und bei Gegnern manchmal Betäubung verursacht.","Un fulmine che cura gli alleati e ha la possibilità di infliggere Stordimento ai nemici.","Um raio que cura aliados e possui uma chance de atordoar inimigos.","Молния — исцеляет союзников и может оглушить врагов.","","",""
"ABILITY_SLIPTHROUGH_NAME","Slip Through","","Escabullimiento","Faufilage","Durchzwängen","Scivolamento","Espremida","Проскок","","",""
"ABILITY_SLIPTHROUGH_DESC","Roll up to two tiles in a diagonal line.","","Rueda hasta 2 casillas en diagonal.","Roulez sur&nbsp;1&nbsp;à&nbsp;2&nbsp;cases en diagonale.","Rolle bis zu zwei Felder in einer diagonalen Linie.","Rotoli fino a due caselle in diagonale.","Role por até dois espaços em uma linha diagonal.","Кувырок на 2 клетки по диагонали.","","",""
"ABILITY_SLIPTHROUGH2_DESC","Roll any number of tiles in a diagonal line.","","Rueda cualquier cantidad de casillas en diagonal.","Roulez en diagonale sur autant de cases que vous le souhaitez.","Rolle beliebig viele Felder in einer diagonalen Linie.","Rotoli per un qualsiasi numero di caselle in diagonale.","Role por quantos espaços quiser em uma linha diagonal.","Кувырок на любое число клеток по диагонали.","","",""
"ABILITY_DUMP_NAME","Dump","","Evacuación","Excrément","Häufchen","Bisognino","Defecar","Кучка","","",""
"ABILITY_DUMP_DESC","Spawn a poop on an adjacent tile.","","Genera una caca en una casilla adyacente.","Fait apparaître un caca sur une case adjacente.","Lege ein Häufchen auf ein benachbartes Feld.","Generi un escremento su una casella adiacente.","Gere cocô em um espaço adjacente.","Оставить какашку на соседней клетке.","","",""
"ABILITY_DUMP2_DESC","Spawn a poop on an adjacent tile. Inflict Poison 3 and a 15% chance to Stun if you poop on a unit.","","Genera una caca en una casilla adyacente. Inflige 3 de veneno y tiene un 15 % de probabilidad de aturdir si la caca cae sobre una unidad.","Fait apparaître un caca sur une case adjacente. Inflige Poison&nbsp;+3&nbsp;et vous confère 15&nbsp;% de chances d'Étourdissement si vous chiez sur une unité.","Lege ein Häufchen auf ein benachbartes Feld. Verursache Gift&nbsp;3 und mit einer 15%igen Wahrscheinlichkeit Betäubung, wenn du ein Häufchen auf eine Einheit legst.","Generi un escremento su una casella adiacente. Infliggi Veleno 3 e una probabilità del 15% di Stordimento se lo fai su un'unità.","Gere cocô em um espaço adjacente. Aplique veneno 3 com uma chance de 15% de atordoar se você fizer cocô em uma unidade.","Оставить какашку на соседней клетке. Если на юнита — Яд 3 и 15% шанс Оглушения.","","",""
"ABILITY_SNACK_NAME","Snacks","","Aperitivo","Goûter","Snacks","Spuntini","Lanche","Перекус","","",""
"ABILITY_SNACK_DESC","Heal yourself or another unit within four tiles 1 HP.","","Recupera 1 PS o se los devuelve a otra unidad en un radio de 4 casillas.","Soignez-vous ou une autre unité à moins de 4&nbsp;cases de 1&nbsp;PV.","Heile dich oder eine anderen Einheit innerhalb von vier Feldern um 1&nbsp;LP.","Curi te o un'altra unità entro quattro caselle di 1 PS.","Cure 1 PV de si ou de outra unidade dentro de quatro espaços de distância.","Исцелить себя или юнита в пределах 4 клеток на 1 ОЗ.","","",""
"ABILITY_SNACK2_DESC","Heal yourself or another unit 1 HP. 50% chance to also give +1 [img:con].","","Recupera 1 PS o se los devuelve a otra unidad. Tiene un 50 % de probabilidad de otorgar también +1 [img:con].","Soignez-vous ou une autre unité de 1&nbsp;PV. L'unité soignée a 50&nbsp;% de chances de gagner [img:con]&nbsp;+1.","Heile dich oder eine anderen Einheit innerhalb von vier Feldern um 1&nbsp;LP. 50%ige Wahrscheinlichkeit, außerdem +1&nbsp;[img:con] zu verleihen.","Curi te o un'altra unità entro quattro caselle di 1 PS. 50% di probabilità di ottenere anche +1 alla [img:con].","Cure 1 PV de si ou de outra unidade. 50% de chance de também conceder +1 de [img:con].","Исцелить себя или другого юнита на 1 ОЗ. 50% шанс также дать +1 [img:con].","","",""
"ABILITY_FEATHERFEET_NAME","Feather Feet","","Pies ligeros","Patte véloce","Federfuß","Come una Piuma","Pé de Pluma","Пёрышко","","",""
"ABILITY_FEATHERFEET_DESC","Gain +1 [img:spd].","","Obtiene +1 [img:spd].","[img:spd]&nbsp;+1.","Erhalte +1&nbsp;[img:spd].","Guadagni +1 [img:spd].","Obtenha +1 de [img:spd].","+1 [img:spd].","","",""
"ABILITY_FEATHERFEET2_DESC","Gain +1 [img:spd].
Bonus Passive: You're unaffected by tile effects.","","Obtiene +1 [img:spd].
Pasiva de bonificación: No le afectan los efectos de las casillas.","[img:spd]&nbsp;+1. Bonus passif&nbsp;: les effets de case ne vous affectent pas.","Erhalte +1&nbsp;[img:con].
Bonuspassiveffekt: Feldeffekte haben keine Wirkung auf dich.","Guadagni +1 [img:spd].
Bonus Passivo: Gli effetti delle caselle non ti influenzano.","Obtenha +1 de [img:spd].
Bônus passivo: você não sofre efeitos de espaços.","+1 [img:spd].
Бонусный пассив: Эффекты клеток на вас не действуют.","","",""
"ABILITY_REDUCE_NAME","Reduce","","Reducción","Réduction","Reduktion","Riduzione","Redução","Уменьшение","","",""
"ABILITY_REDUCE_DESC","Gain +20% dodge chance, +4 [img:spd], and -2 Damage.
[s:.7](Castable once per battle.)[/s]","","Obtiene un +20 % de probabilidad de esquiva, +4 [img:spd] y -2 de daño.
[s:.7](Se puede lanzar una vez por combate).[/s]","Chances d'esquive&nbsp;+20&nbsp;%, [img:spd]&nbsp;+4, et Dégâts&nbsp;-2.
[s:.7](Une fois par combat.)[/s]","Erhalte +20&nbsp;% Ausweichchance, +4&nbsp;[img:spd] und -2&nbsp;Schaden.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Ottieni +20% di probabilità di schivata, +4 alla [img:spd] e -2 al Danno.
[s:.7](Lanciabile una volta per battaglia.)[/s]","Obtenha +20% de chance de esquiva, +4 de [img:spd] e -2 de dano.
[s:.7](Um lançamento por batalha.)[/s]","+20% шанс уклонения, +4 [img:spd] и -2 к урону.
[s:.7](Можно использовать раз за бой.)[/s]","","",""
"ABILITY_REDUCE2_DESC","Gain +20% dodge chance, +4 [img:spd], and -2 Damage.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","","Obtiene un +20 % de probabilidad de esquiva, +4 [img:spd] y -2 de daño.
[s:.7](Este hechizo cuesta 0 de maná. Se puede lanzar una vez por combate).[/s]","Chances d'esquive&nbsp;+20&nbsp;%, [img:spd]&nbsp;+4, et Dégâts&nbsp;-2.
[s:.7](Une fois par combat. Coûte 0&nbsp;mana.)[/s]","Erhalte +20&nbsp;% Ausweichchance, +4&nbsp;[img:spd] und -2&nbsp;Schaden.
[s:.7](Dieser Zauber kostet 0&nbsp;Mana. Einmal pro Kampf verwendbar.)[/s]","Ottieni +20% di probabilità di schivata, +4 alla [img:spd] e -2 al Danno.
[s:.7](Quest'incantesimo costa 0 mana. Lanciabile una volta per battaglia.)[/s]","Obtenha +20% de chance de esquiva, +4 de [img:spd] e -2 de dano.
[s:.7](Este encantamento custa 0 de mana. Um lançamento por batalha.)[/s]","+20% шанс уклонения, +4 [img:spd] и -2 к урону.
[s:.7](Стоит 0 маны. Можно использовать раз за бой.)[/s]","","",""
"ABILITY_NERF_NAME","Nerf","","Debilitador","Nerf","Schwächen","Depotenziamento","Nerf","Ослабление","","",""
"ABILITY_NERF_DESC","Inflict -1 Damage on a unit.","","Inflige -1 de daño a una unidad.","Inflige Dégâts&nbsp;-1&nbsp;sur une unité.","Verursache -1&nbsp;Schaden bei einer Einheit.","Infliggi -1 al Danno a un'unità.","Aplique -1 de dano em uma unidade.","Наложить -1 к урону на юнита.","","",""
"ABILITY_NERF2_DESC","Inflict -1 Damage and -1 [img:con] on a unit.","","Inflige -1 de daño y -1 [img:con] a una unidad.","Inflige Dégâts&nbsp;-1&nbsp;et [img:con]&nbsp;-1&nbsp;sur une unité.","Verursache -1&nbsp;Schaden und -1&nbsp;[img:con] bei einer Einheit.","Infliggi -1 al Danno e -1 alla [img:con] a un'unità.","Aplique -1 de dano e -1 de [img:con] em uma unidade.","Наложить -1 к урону и -1 [img:con] на юнита.","","",""
"ABILITY_TRIP_NAME","Trip","","Traspié","Croche-patte","Bein stellen","Inciampo","Tropeço","Подножка","","",""
"ABILITY_TRIP_DESC","Immobilize an adjacent unit.
[s:.7]This only has a 25% chance to work on boss units and large enemies.[/s]","","Inmoviliza a una unidad adyacente.
[s:.7](Esto solo tiene un 25 % de probabilidad de surtir efecto con jefes y enemigos grandes).[/s]","Immobilise une unité adjacente.
[s:.7]25&nbsp;% de chances de succès sur les Boss et les ennemis imposants.[/s]","Mach eine benachbarte Einheit bewegungsunfähig.
[s:.7]Ist bei Bossen und großen Gegnern nur zu 25&nbsp;% erfolgreich.[/s]","Immobilizza un'unità adiacente.
[s:.7]Ha solo il 25% di probabilità di funzionare su unità boss e nemici di grandi dimensioni.[/s]","Imobilize uma unidade adjacente.
[s:.7]Isto possui apenas 25% de chance de funcionar em chefes e inimigos grandes.[/s]","Обездвижить соседнего юнита.
[s:.7]Только 25% шанс сработать на боссах и крупных врагах.[/s]","","",""
